Launch_ID,City,Store_ID,Planned_Launch_Date,Owner,Onboarding_Status,Tech_Setup_Status,Testing_Status,Inventory_Readiness,Staffing_Readiness,SOP_Checklist,Expected_Daily_Orders,Planned_Capacity,Readiness_%,Capacity_Utilization_%,Primary_Blocker,Launch_Status,Days_to_or_Past_Launch
LCH10001,Mumbai,ST275,2025-04-13,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,794,1272,100,62.4,None,Go-Live Ready,-464
LCH10002,Kolkata,ST931,2026-03-12,Ops-D,Complete,Pending,Passed,Ready,Ready,Complete,461,1344,83,34.3,Tech Setup,Delayed,-131
LCH10003,Pune,ST688,2025-09-28,Ops-D,Complete,Complete,Passed,Ready,Ready,Complete,276,1472,100,18.8,None,Go-Live Ready,-296
LCH10004,Mumbai,ST595,2025-04-17,Ops-D,Complete,Complete,Pending,Ready,Ready,Complete,526,1032,83,51.0,Testing,Delayed,-460
LCH10005,Ahmedabad,ST214,2025-03-13,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,1518,1053,100,144.2,Capacity,Go-Live Ready,-495
LCH10006,Bengaluru,ST211,2025-01-21,Ops-C,Pending,Complete,Passed,Ready,Ready,Complete,374,357,83,104.8,Onboarding,Delayed,-546
LCH10007,Bengaluru,ST861,2025-05-02,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,1190,439,100,271.1,Capacity,Go-Live Ready,-445
LCH10008,Pune,ST539,2026-04-12,Ops-C,Complete,Complete,Passed,Pending,Ready,Complete,646,1346,83,48.0,Inventory,Delayed,-100
LCH10009,Hyderabad,ST815,2025-08-03,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,622,1200,100,51.8,None,Go-Live Ready,-352
LCH10010,Kochi,ST247,2025-11-27,Ops-D,Complete,Complete,Passed,Ready,Ready,Complete,1484,677,100,219.2,Capacity,Go-Live Ready,-236
LCH10011,Chennai,ST135,2026-04-04,Ops-B,Complete,Complete,Passed,Pending,Ready,Complete,1310,1221,83,107.3,Inventory,Delayed,-108
LCH10012,Hyderabad,ST409,2025-03-29,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,624,672,100,92.9,None,Go-Live Ready,-479
LCH10013,Bengaluru,ST638,2026-01-08,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,366,1386,100,26.4,None,Go-Live Ready,-194
LCH10014,Bengaluru,ST850,2025-04-10,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,345,1077,100,32.0,None,Go-Live Ready,-467
LCH10015,Delhi NCR,ST114,2025-05-11,Ops-D,Complete,Complete,Passed,Ready,Ready,Complete,350,466,100,75.1,None,Go-Live Ready,-436
LCH10016,Mumbai,ST474,2025-11-05,Ops-A,Complete,Complete,Pending,Ready,Ready,Complete,515,1474,83,34.9,Testing,Delayed,-258
LCH10017,Ahmedabad,ST657,2025-12-10,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,868,822,100,105.6,Capacity,Go-Live Ready,-223
LCH10018,Chennai,ST528,2026-05-07,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,549,883,100,62.2,None,Go-Live Ready,-75
LCH10019,Pune,ST828,2026-02-18,Ops-C,Complete,Complete,Passed,Ready,Ready,Pending,739,800,83,92.4,SOP,Delayed,-153
LCH10020,Ahmedabad,ST333,2026-01-21,Ops-C,Complete,Complete,Pending,Ready,Ready,Pending,363,1195,67,30.4,Testing,Delayed,-181
LCH10021,Delhi NCR,ST805,2025-07-11,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,490,1298,100,37.8,None,Go-Live Ready,-375
